,883,151,1786,1482,66,67,14696,78183,78186,78185,818,35951,347,812,813,1460,817,144,1174,895,1239,1178,9825,3152,124,966,1516,58,37,36,14935,800
883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,,,,,1,1,,,,,1,,1,1,1,,1,,,,,,,,,1,1,,,,1,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,1,1,,,,1,,1,1,1,1,,,,1,,1,1,,,,,1,1,,,1,1,1,,1
812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,1,,,,,,,,,1,,1,,,1,,1,1,1,1,,,,1,,,1,1,,,1
14935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,
