,2439,1480,4104,3536,253,1489,2309,2204,2228,2229,1732,2220,818,2170,181,817,32652,1490,3445,4130,10869,1474,801,4851
2439,,,,,,,,,,,,,,,,,,,,,,,,
1480,,,,,,,,,,,,,,,,,,,,,,,,
4104,,,,,,,,,,,,,,,,,,,,,,,,
3536,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,
1489,,,,,,,,,,,,,,,,,,,,,,,,
2309,,,,,,,,,,,,,,,,,,,,,,,,
2204,,,,,,,,,,,,,,,,,,,,,,,,
2228,,,,,,,,,,,,,,,,,,,,,,,,
2229,,,,,,,,,,,,,,,,,,,,,,,,
1732,,,,,,,,,,,,,,,,,,,,,,,,
2220,,,,,,,,,,,,,,,,,,,,,,,,
818,,,,,,,,,,,,,,,,,,,,,,,,
2170,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,
817,,,,,,,,,,,,,,,,,,,,,,,,
32652,,,,,,,,,,,,,,,,,,,,,,,,
1490,1,,1,1,,,,,,,,1,1,1,,,1,,1,1,,,,1
3445,,,,,,,,,,,,,,,,,,,,,,,,
4130,,,,,,,,,,,,,,,,,,,,,,,,
10869,,,,,,,,,,,,,,,,,,,,,,,,
1474,,,,,,,,,,,,,,,,,,,,,,,,
801,,1,,,1,1,1,1,1,1,1,,1,,1,1,,1,,,1,1,,
4851,,,,,,,,,,,,,,,,,,,,,,,,
