,29453,1480,50081,4769,253,1489,3164,2201,50477,2229,4001,51309,51260,818,2157,4967,817,28525,41598,22636,1547,2280,46859,48207,45145,1490,46814,48381,2238,28522,3445,3441,27753,1180,49683,1474,25663,41601,28730,800
29453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,,,1,,,,,,1,,1,1,1,,,,,1,1,1,,,1,1,1,,1,1,,1,,,,,1,,1,1,,
2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,,1,,1,,1,,1,,1,,,,1,1,,1,,,,1,1,,,,,,,,,1,1,,1,,1,,,1,1
46814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2238,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
28522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27753,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
