source,target,messageid,messagedt,weekday,,time,recepttype,subject
6061,4769,139738,37208.53743,37208.53743,46,87,to,Confidential - Decision tree on projects
6061,6153,139738,37208.53743,37208.53743,46,87,to,Confidential - Decision tree on projects
6061,1637,139738,37208.53743,37208.53743,46,87,to,Confidential - Decision tree on projects
6061,11377,139738,37208.53743,37208.53743,46,87,to,Confidential - Decision tree on projects
1637,56727,139359,37208.55223,37208.55223,46,87,to,Fw: Confidential - Decision tree on projects
1637,56711,139361,37208.62424,37208.62424,46,87,to,RE: Confidential - Decision tree on projects
4769,6061,151079,37209.24093,37209.24093,46,87,to,RE: Confidential - Decision tree on projects
1482,817,138102,37209.35817,37209.35817,46,87,to,RE: Dynegy/Enron Point of Contact
1482,818,138102,37209.35817,37209.35817,46,87,cc,RE: Dynegy/Enron Point of Contact
36,17364,138105,37209.43206,37209.43206,46,87,to,RE: California Transactions of EPMI--Confidential ATTY Client Work Product
36,817,138105,37209.43206,37209.43206,46,87,to,RE: California Transactions of EPMI--Confidential ATTY Client Work Product
36,42,138105,37209.43206,37209.43206,46,87,cc,RE: California Transactions of EPMI--Confidential ATTY Client Work Product
1482,1454,136415,37209.53122,37209.53122,46,87,to,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,817,136415,37209.53122,37209.53122,46,87,to,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,818,136415,37209.53122,37209.53122,46,87,to,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,1463,136415,37209.53122,37209.53122,46,87,to,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,813,136415,37209.53122,37209.53122,46,87,cc,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,2310,136415,37209.53122,37209.53122,46,87,cc,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,33830,136415,37209.53122,37209.53122,46,87,cc,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,1454,176929,37209.53122,37209.53122,46,87,to,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,817,176929,37209.53122,37209.53122,46,87,to,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,818,176929,37209.53122,37209.53122,46,87,to,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,1463,176929,37209.53122,37209.53122,46,87,to,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,813,176929,37209.53122,37209.53122,46,87,cc,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,2310,176929,37209.53122,37209.53122,46,87,cc,Talking Points For Rep. Barton On Tauzin RTO Letter
1482,33830,176929,37209.53122,37209.53122,46,87,cc,Talking Points For Rep. Barton On Tauzin RTO Letter
36,347,129665,37209.6076,37209.6076,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
36,253,129665,37209.6076,37209.6076,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
36,1786,129665,37209.6076,37209.6076,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
36,3152,129665,37209.6076,37209.6076,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
36,14696,129665,37209.6076,37209.6076,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
36,53413,129665,37209.6076,37209.6076,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
36,200,129665,37209.6076,37209.6076,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
36,801,129665,37209.6076,37209.6076,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
36,800,129665,37209.6076,37209.6076,46,87,cc,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,36,129667,37209.64176,37209.64176,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,253,129667,37209.64176,37209.64176,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,1786,129667,37209.64176,37209.64176,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,3152,129667,37209.64176,37209.64176,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,14696,129667,37209.64176,37209.64176,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,53413,129667,37209.64176,37209.64176,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,200,129667,37209.64176,37209.64176,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,801,129667,37209.64176,37209.64176,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,800,129667,37209.64176,37209.64176,46,87,cc,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
36,347,219145,37209.67685,37209.67685,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,36,220746,37209.68865,37209.68865,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
347,36,129203,37210.28348,37210.28348,46,87,to,RE: PG&E PX Credit Calculation -- CONFIDENTIAL ATTY CLIENT WORK PRODUCT
