source,target,messageid,messagedt,weekday,,time,recepttype,subject
1454,5827,177860,37095.39002,37095.39002,30,71,to,RE: Moving foward at a good clip
242,6013,229316,37096.31843,37096.31843,30,71,to,RE: Confidential Communication to my Attorney
242,6013,229317,37096.3239,37096.3239,30,71,to,RE: Confidential Communication to my Attorney
1399,284,234636,37097.33288,37097.33288,30,71,to,Confidential & Proprietary - PanNat Valuation Update (7.24.01)
1399,53467,234636,37097.33288,37097.33288,30,71,cc,Confidential & Proprietary - PanNat Valuation Update (7.24.01)
1399,2357,234636,37097.33288,37097.33288,30,71,cc,Confidential & Proprietary - PanNat Valuation Update (7.24.01)
1399,1174,234636,37097.33288,37097.33288,30,71,cc,Confidential & Proprietary - PanNat Valuation Update (7.24.01)
1399,3635,234636,37097.33288,37097.33288,30,71,cc,Confidential & Proprietary - PanNat Valuation Update (7.24.01)
36,1473,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,66,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,801,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,1479,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,1507,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,1485,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,253,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,1416,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,1489,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,34033,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,10241,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,1491,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,67,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
36,782,125469,37097.41528,37097.41528,30,71,to,RE: Western Wholesale Activities - Gas & Power Conf. Call Privileged & Confidential Communication Attorney-Client Communication and Attorney Work Product Privileges Asserted
